BOB_COMPANY_ID,ACCOUNT_NAME,COUNTRY,INDUSTRY,PAYING_MODULES,ACCOUNT_OWNER,RENEWAL_MANAGER,ACCOUNT_MANAGER,MASTER_CONTRACT_END_DATE_C,QUARTER,TENURE_YEARS,ARR,ACTIVE_USERS,MAX_QUOTED_NUMBER_EE,CUSTOMER_IS_LIVE,ACCOUNT_HEALTH_SENTIMENT,SEGMENT,RISK_SEVERITY,Risk - DESCRIPTION,OPEN_CHURN_REQUESTS,TOTAL_CUSTOMER_RELATED_RISKS
574706,DryLog Ltd.,Greece,Shipping & Logistics,"Time & Attendance,  Compensation,  Talent Package,  Your Voice",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-06-19,Q2 2026,3.71,"$19,051.21",70,70,TRUE,,SMB - Small,🔴 High,"Today, the company operates a combination of modern, owned and chartered vessels; The fleet varies between Capesize, Κamsarmax, Post-Panamax, Panamax, Ultramax and Supramax predominately built in Japan.

Since its establishment DryLog Ltd. has developed strong relationships with Japanese Trading Houses and Owners via long term time-chartered vessels and Sale and Purchase transactions with local entities.",0,1
641086,Swarmer,Ukraine,Business Services,"Compensation,  Talent Package,  Your Voice",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-12-31,Q4 2027,0.26,"$30,000.00",125,63,TRUE,,SMB - Medium,🟢 No Risk,,0,0
627017,MedOne,Israel,Information Technology and Services,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-12-17,Q4 2026,3.21,"$12,701.52",69,50,TRUE,,SMB - Small,🟠 Medium,"MedOne provides its customers with complementary solutions for hosting the computer systems, including: Data center hosting service IaaS PaaS SaaS public cloud computing DRP managed backup service Monitoring and security services Consultation, management and guidance for projects of transitioning computer systems to cloud environments. IT / professional services Onsite expert services The Company's unique services are provided under a strict service level agreement (SLA) and are based on extensive operational experience. MedOne currently hosts a large number of foremost Israeli companies in its facilities and has positioned itself as the leading data center service provider in Israel.",0,1
60793,Bringg,Israel,Software General,"Payroll Hub,  Time & Attendance,  Talent Package,  Compensation,  Learning",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-26,Q1 2026,6.94,"$41,477.88",179,150,TRUE,Low Risk,SMB - Medium,🟢 No Risk,"Bringg is the leading delivery logistics solution, providing enterprises with the most efficient way to manage their complex delivery operations. Some of the world's best-known brands in more than 50 countries are already gaining clear strategic value from our powerful SaaS platform which offers the real-time capabilities they need in order to achieve logistical excellence across their delivery ecosystem.",0,0
637125,Finout,Israel,Computer Hardware & Software,Time & Attendance,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-07-07,Q3 2026,1.66,"$14,471.28",101,49,TRUE,,SMB - Medium,🟢 No Risk,"Finout is a modern, self-service cloud cost management and observability tool that provides FinOps unmatched business context into cloud environments. By correlating business metrics with cloud costs, Finout clients are empowered to make healthier business decisions that improve efficiency, pricing and go-to-market strategy.",0,0
634103,Forty Two Data Services LTD,Israel,Real Estate,"Time & Attendance,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-10-31,Q4 2026,2.34,"$20,976.00",92,80,TRUE,Low Risk,SMB - Small,🟢 No Risk,"Forty2 Apartment Property Management Services is real estate professionals, providing multifamily property management, development, and consulting.",0,0
585824,PlainID - The Authorization Company,Israel,Software General,"Talent Package,  Time & Attendance,  Payroll Hub",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-07-04,Q3 2026,3.67,"$17,236.80",84,79,TRUE,,SMB - Small,🟠 Medium,"PlainID is The Authorization Company. PlainID provides both Business AND Admin teams with a simple and intuitive means to control their organization’s entire authorization process, all based on your own business logic. The platform allows you to implement literally any kind of rules you could imagine, all without coding, and all in fine grained detail.  PlainID simplifies Authorization so that thousands of Roles, Attributes and even Environmental Factors can be converted into a few logical SmartAuthorization policies using our Graph Database Decision Engine.

In-depth Analytics and Insights: PlainID provides unobstructed visibility with a full audit trail. Compliance, regulation and audit requirements - they’re easy to manage on a simple graph-based UI.",0,1
597759,FundGuard,Israel,Financial Services,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-07-16,Q3 2027,3.63,"$27,332.64",148,90,TRUE,,SMB - Medium,🟢 No Risk,"FundGuard is a next-generation, AI-powered SaaS platform for investment management and administration. FundGuard helps asset managers and fund administrators to manage mutual funds, ETFs, hedge funds, insurance products, and pension funds, supporting digital transformation, operations automation, AI-based insights, resiliency, and migration to the cloud. FundGuard is backed by venture firms Blumberg Capital, LionBird Ventures, and Team8 Capital among others, as well as industry executives Heidi Miller, Jack Klinck, Jay Mandelbaum and others.",0,0
638207,ONEUP GAMES LTD,Georgia,Software General,"Time & Attendance,  Talent Package,  Workforce Planning",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-12-01,Q4 2026,1.25,"$30,442.68",103,90,TRUE,,SMB - Medium,🟢 No Risk,"Hi Bob!
I would like to request demo, but making an appointment I get a bug. 
How it possible to try platform by another way?",0,0
636786,cloudshare,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-07-31,Q3 2026,1.59,"$15,818.40",78,55,TRUE,,SMB - Small,🟢 No Risk,"CloudShare is the leading provider of virtual environments in the cloud. CloudShare's self-service SaaS platform and suite of solutions enable business users to build, freeze and share complex computing environments for development, testing, sales & marketing, and training. CloudShare's on-demand IT environments empower users to kick-start new projects, explore new technologies, develop complex applications and collaborate across teams without battling for limited IT infrastructure resources.",0,0
635068,WeLearn,United Arab Emirates,Technology,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-01-31,Q1 2027,2.09,"$41,842.49",184,50,TRUE,,SMB - Medium,🟢 No Risk,,0,0
636248,Joyteractive,Belarus,Business Services,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-31,Q1 2026,1.92,"$15,480.19",65,65,TRUE,,SMB - Small,🟠 Medium,"Joyteractive Ltd is a company that operates in the Religious Institutions industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Nicosia, Nicosia, Cyprus.",0,1
607837,Zing Coach Inc.,Cyprus,Computer Hardware & Software,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-08-01,Q3 2026,3.59,"$12,600.00",43,60,TRUE,Low Risk,SMB - Small,🔴 High,"Founded in 2009, Epik is headquartered in Sammamish, Washington. They are a full-service domain registrar and host that offers services including site building, VPS hosting, web design, and more.",0,1
388690,LocusView,Israel,Software General,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-05-09,Q2 2026,4.82,"$25,401.60",108,140,TRUE,Low Risk,SMB - Medium,❌ Critical,"Established in 2014, LocusView is an Israeli-American tech company providing a digital platform that collects, validates and manages new construction data for energy infrastructure, aiming to build safer networks and prepare for the coming challenges of smarter energy infrastructure. 

We are working with and for our clients to productize industry best practices for energy distribution and transmission networks. Currently, over half of the 20 largest energy companies in the US are already clients of the company.  

Companies working with LocusView enjoy the below benefits -

* A streamlined flow from design to the system of record including as-builting, material traceability and inspections
* Paperless, validated construction records
* Sensor-based data collection 
* Workmanship quality verification & regulatory compliance
* Close-out projects faster -  from field to GIS in 24 hours
* User interface is designed for construction end-users 
* Digital Twin 

Our offices are located in Chicago, Tel Aviv, London, Mexico City and Melbourne.",1,1
636382,Principia Energy Services Single Member Societe Anonyme,Greece,Oil & Gas,"Compensation,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-06-02,Q2 2026,1.75,"$33,888.96",144,140,TRUE,,SMB - Medium,🟢 No Risk,Enel Green Power Hellas SA,0,0
638082,Impetum Group,Romania,Business Services,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-11-17,Q4 2026,1.29,"$18,614.94",87,80,TRUE,,SMB - Medium,🟢 No Risk,"ROCA Fondul Proprietatea: fond de investiții inovator, administrare activă de active prin Impetum și IRE AIFM. Oportunități reale de creștere.",0,0
538437,Supercom,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-02-26,Q1 2027,4.02,"$17,634.24",72,50,TRUE,,SMB - Small,🟢 No Risk,"SuperCom is a provider of traditional and digital identity solutions, providing advanced safety, identification, and security products and solutions to governments. It offers advanced, secure mobile payments ranging from mobile wallets to mobile POS. The company was founded in 1988 and is located in New York, New York.",0,0
628020,Applitools,Israel,Software General,"Time & Attendance,  Talent Package,  Your Voice",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-02-09,Q1 2027,3.15,"$25,019.40",91,115,TRUE,Low Risk,SMB - Medium,🟠 Medium,"Applitools has developed Applitools Eyes, the first cloud based software testing tool that can automatically validate all the visual aspects of Web, Mobile and Desktop apps like a manual tester does only much faster and more accurately. This company is headquartered out of San Francisco, California with an additional office in Israel.",0,1
380803,TytoCare,Israel,Manufacturing,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-06-01,Q2 2026,4.84,"$19,764.00",183,80,TRUE,Low Risk,SMB - Medium,🟠 Medium,"Tyto Care provides handheld exam kits and an app that lets customers perform guided medical exams with a healthcare provider, anytime, anywhere. Tyto Care was established in 2012, and is headquartered in New York, United States.",0,1
93310,Safebreach,Israel,Software General,"Time & Attendance,  Talent Package,  Compensation",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-11-29,Q4 2026,6.35,"$29,957.28",139,50,TRUE,Medium Risk,SMB - Medium,🟢 No Risk,"SafeBreach helps answer the questions security leaders are being asked by their CEO/boards today - Are we secure?""​ and ""Can a breach happen to us?""​

Our platform simulates hacker breach methods across the entire kill chain to identify breach scenarios in your environment before an attacker does. Think of it as your very own ""virtual hacker""​ that performs continuous security validation so you can:
- quantify your enterprise risks
- validate your existing security controls 
- weaponize your threat intelligence

We’re looking for hackers and trailblazers to join us. If you're passionate about technology and like to break things, we want to hear from you! Join us, and make an impact!",0,0
640470,IPRoyal,United Arab Emirates,Information Technology and Services,"Hiring,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-09-30,Q3 2026,0.42,"$22,189.44",104,92,TRUE,,SMB - Medium,🟢 No Risk,"Get a proxy service provider without contracts, non-expiring traffic, and easy self-service.",0,0
640174,Asterra,Israel,Utilities,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-07-12,Q3 2026,0.64,"$13,953.60",61,72,TRUE,,SMB - Small,🟢 No Risk,"ASTERRA (formerly Utilis) provides geospatial data-driven platform solutions for water utilities, government agencies, and the greater infrastructure industry in the areas of roads, rails, dams, and mines. ASTERRA products and services use synthetic aperture radar (SAR) data from satellites and turn this data into large-scale decision support tools. The company's proprietary algorithms and highly educated scientists and engineers are the keys to their mission, to become humanity's eyes on the Earth. ASTERRA is investing in artificial intelligence (AI) to bring its products to the next level. Since 2017, ASTERRA technology has been used in over 59 countries, saving over 169,280 million gallons of potable water, reducing carbon dioxide emissions by 108,339 metric tons, and saving 423,200 MWH of energy, all in support of United Nations Sustainable Development Goals. ASTERRA is headquartered in Israel with offices in the United States, United Kingdom, and Japan. Their innovative data solutions are used in multiple verticals around the globe.",0,0
9236,EX.CO,Israel,Internet Software & Services,"Time & Attendance,  Talent Package",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-10-31,Q4 2026,8.34,"$10,560.00",109,110,TRUE,Medium Risk,SMB - Medium,🟢 No Risk,"Ex.co is an online publishing platform for publishers, brand agencies, and individual content creators to create content in interactive formats such as polls, quizzes, lists, video snippets, slideshows, and countdowns.",0,0
635954,Blox.io,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-14,Q1 2026,1.97,"$12,960.00",60,47,TRUE,,SMB - Small,🟢 No Risk,"Blox is an industry-leading platform for crypto accounting and bookkeeping, dedicated to empowering accounting teams, finance teams, and bookkeepers.",0,0
38576,Cyberbit,Israel,Software General,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-04-30,Q2 2026,7.18,"$14,400.00",91,125,TRUE,Low Risk,SMB - Medium,🟠 Medium,"Cyberbit provides a consolidated detection and response platform that protects an organization's entire attack surface across IT, OT, and IoT networks. Cyberbit is headquartered in Israel.",0,1
599549,Unit,Israel,Software General,"Talent Package,  Time & Attendance,  Compensation",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-08-09,Q3 2026,3.65,"$31,810.56",152,105,TRUE,Low Risk,SMB - Medium,🟢 No Risk,"Unit Finance, is a company that helps tech companies build financial services into their products by building a rich API layer.",0,0
563187,Darrow,Israel,Technology,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-05-21,Q2 2026,3.79,"$34,551.36",172,150,TRUE,,SMB - Medium,🟢 No Risk,"Founded in 2020 and based out of Tel Aviv, Darrow.ai is a team of legal experts who created a platform that allows attorneys to uncover legal claims using machine learning algorithms.",0,0
555846,Genflow,United Kingdom,Hospitality / Travel,"Talent Package,  UK Payroll",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-20,Q1 2026,3.96,"$32,236.03",121,100,TRUE,,SMB - Medium,🟢 No Risk,"We partner with influencers to help them build their own business and sell products to their audience. We love to work with established influencers who already have built their following, made money working with brands, done some free travelling and now want to focus on building their long term future by setting up their own business.",0,0
631429,Exon Media,Israel,Business Services,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-06-07,Q2 2026,2.74,"$14,592.00",64,40,TRUE,,SMB - Small,🟢 No Risk,Supercharging human insights with data and AI to deliver inside-out advice about every product in every category. Our consumer-first experiences offer guidance and shopping advice,0,0
388057,TCR TECH RESEARCH,Israel,Software General,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-05-31,Q2 2026,4.76,"$21,150.72",102,68,TRUE,,SMB - Medium,🟢 No Risk,"TRG is a company that offers a unique approach based on integral solutions of geolocation systems, data fusion and operations from diverse sources in a single platform and interface. 

It is formed by a multidisciplinary team of professionals with more than 25 years of global experience in telecommunications, cyber security and police intelligence. Our aim is to be at the forefront of the innovation of disruptive solutions in information and communications technologies.",0,0
394257,JUSTT FINTECH LTD,Israel,Business Services,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-05-12,Q2 2026,4.81,"$23,364.00",118,65,TRUE,Low Risk,SMB - Medium,🟢 No Risk,AcroCharge is a leading chargeback mitigation solution that empowers merchants to recover lost revenue. Our tailor-made solution combines technology with human know-how to remove the hassle and operational complexity of fighting payment disputes.,0,0
523155,Infermedica,Poland,Software General,Talent Package,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-02-17,Q1 2027,4.04,"$21,291.65",89,80,TRUE,Low Risk,SMB - Small,🟠 Medium,"Infermedica makes it easier to pre-diagnose, triage, and connect your patients with the appropriate medical services.",0,1
558822,maoz,Israel,Education Services,,Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-03-31,Q1 2026,3.93,"$22,664.40",187,150,TRUE,Low Risk,SMB - Medium,🟢 No Risk,"At MAOZ, Osnat manages the Networking division. She is responsible for the continued training and development related to the members of the MAOZ Network (130 from the MAOZ Fellows Program and 78 from Kriat Kivun). 

In the past, Osnat has been a producer and a project manager for 18 years and served in various production roles in television including Channel 2 news, ""Friday Studio"" news magazine, and as the executive producer of ""Uvda"". Osnat is a member of the founding team of Channel 10 and Channel 10 news, as well as a production and operations manager of the ""Tchelet"" channel and Or-Media company. Osnat was also the producer of ""Now-Beyond"" events that produced Shimon Peres' 80th birthday celebrations. 

Osnat is a graduate of ""Gvanim"" (Shades) - a program for pluralistic Jewish leadership and of the Bertelsmann Foundation German-Israeli Young Leadership Exchange. She has since been working for the foundation as a project manager and is responsible for all activities and seminars in Israel. Over the past three years, Osnat has also managed ""Israeli Horizon,"" the alumni forum for Israeli fellows of the Bertelsmann program. Osnat graduated with honors from the Faculty of Humanities at the Hebrew University in Jerusalem. She served her military service as an instructor at the IDF's School of Artillery. Osnat is a mother to three children, was born in Jerusalem, and currently lives in Ramat HaSharon.",0,0
450814,Planck,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2027-03-29,Q1 2027,4.43,"$14,385.60",74,60,TRUE,,SMB - Small,🟠 Medium,"Planck is the leading commercial insurance data platform, built to enable insurers to instantly and accurately underwrite any business. Planck's technology platform aggregates and mines massive datasets, using the latest advances in artificial intelligence (AI) to automatically generate and deliver key insights customized to the commercial underwriting process.",0,1
408592,LinearB,Israel,Software General,"Time & Attendance,  Talent Package,  Compensation",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-07-14,Q3 2026,4.64,"$23,460.00",100,37,TRUE,,SMB - Medium,🟢 No Risk,"LinearB unifies data across your development tech stack to

Predict delivery bottlenecks and iteration delays

Visualize Cycle Time and other team metrics

Alert you in Slack when devs are blocked 

Translate dev activity to business value

Empower you to deliver value faster 

We’re on a mission to help dev teams lead their organizations from the front. Join us. We’re the right amount of nice and nerdy :-)",0,0
279675,Live Momentum Ltd.,Israel,Software General,"Talent Package,  Time & Attendance",Daniel Rosemberg,Maria Tsamtsika,Idan Mizrahi,2026-04-30,Q2 2026,5.09,"$9,720.00",41,50,TRUE,Low Risk,SMB - Small,🟠 Medium,"StreamElements is the end-to-end platform for live stream production, monetization, audience engagement and brand partnerships.  Offering a full stack of tech and business solutions, combined with legendary customer service, we support over 200k channels on Twitch and YouTube, including some of the world’s top streamer such as Shroud, TimTheTatMan, SodaPoppin and Casey Neistat, reaching more than 15 million viewers watching over 12 billion minutes of content.  In addition, brands, media and influencer agencies, talent agencies and management firms, eSports teams and publishers all leverage StreamElements tech and services to run global ad campaigns and live stream sponsorships.",0,1
